"Table 5.6.B.  Average Retail Price of Electricity to Ultimate Customers by End-Use Sector, by State, Year-to-Date through January 2012 and 2011",,from: http://www.eia.gov/state/state-energy-profiles-more-prices.cfm,,,,,,,,
(Cents per Kilowatthour),,,,,,,,,,
,Residential,,Commercial1,,Industrial1,,Transportation[1],,All Sectors,
California,15.5,15.78,11.96,12.16,9.83,9.88,7.79,8.2,12.97,13.15
Oregon,9.67,9.24,8.25,7.95,5.42,5.24,8.05,7.16,8.33,8.02
Washington,8.39,8.09,7.73,7.52,4.13,4.03,8.17,8.66,7.1,6.92
Pacific Noncontiguous,27.42,23.69,24.45,21.35,26.58,21.39,--,--,26.08,22.18
Alaska,17.98,16.4,14.88,14.52,18.71,15.18,--,--,16.8,15.37
Hawaii,36.25,30.13,34.02,28,29.67,23.8,--,--,33.1,27.19
U.S. Total,11.43,10.95,9.88,9.85,6.5,6.59,9.73,10.39,9.65,9.55
"[1] See Technical notes for additional information on the Commercial, Industrial, and Transportation sectors.",,,,,,,,,,
"  Notes: • See Glossary for definitions. • Values for 2011 and 2012 are preliminary estimates based on a cutoff model sample.  See Technical Notes for a discussion of the sample design for the Form EIA-826. • Utilities and energy service providers may classify commercial and industrial customers based on either NAICS codes or demands or usage falling within specified limits by rate schedule. • Changes from year to year in consumer counts, sales and revenues, particularly involving the commercial and industrial consumer sectors, may result from respondent implementation of changes in the definitions of consumers, and reclassifications. • Retail sales and net generation may not correspond exactly for a particular month for a variety of reasons (i.e., sales data may include imported electricity). • Net generation is for the calendar month while retail sales and associated revenue accumulate from bills collected for periods of time (28 to 35 days) that vary dependent upon customer class and consumption occurring in and outside the calendar month. • Totals may not equal sum of components because of independent rounding.",,,,,,,,,,
"  Source: U.S. Energy Information Administration, Form EIA-826, ""Monthly Electric Sales and Revenue Report with State Distributions Report.""",,,,,,,,,,
